Experiment	STML
1.0024423299999999e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.06879802e-08	1420000	3.0	576.9549668421433
1.0003838040000002e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.068823020000001e-08	1430000	6.0	577.3805166679732
1.0029766039999999e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.06884934e-08	1440000	8.0	577.8060586910279
1.00311908e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.06879874e-08	1450000	6.0	578.2315929055667
1.001012176e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.0687757e-08	1460000	-13.0	578.6571193058472
1.00149282e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.068800740000001e-08	1470000	2.0	579.0826378861295
1.0033886799999999e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.06876448e-08	1480000	-15.0	579.5081486406732
1.0009707440000001e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.068751840000001e-08	1490000	1.0	579.9336515637369
1.00164933e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.068779679999999e-08	1500000	-6.0	580.3591466495809
1.0032785199999999e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.06874802e-08	1510000	-10.0	580.7846338924656
1.00129538e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.06873138e-08	1520000	-3.0	581.2101132866513
1.0008752579999999e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.06877002e-08	1530000	-12.0	581.6355848263988
1.0025515800000001e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.06875938e-08	1540000	-4.0	582.0610485059689
1.00172972e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.06873976e-08	1550000	16.0	582.4865043196234
1.000890598e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.068770019999999e-08	1560000	18.0	582.9119522616234
1.002608292e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.068775860000001e-08	1570000	2.0	583.3373923262312
1.00224924e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.068734340000001e-08	1580000	5.0	583.7628245077087
1.0001389459999999e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.06877458e-08	1590000	-1.0	584.1882488003181
1.00243761e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.068806140000001e-08	1600000	5.0	584.6136651983225
1.0024083400000001e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.06876264e-08	1610000	-2.0	585.0390736959847
1.000487408e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.0687713e-08	1620000	-10.0	585.4644742875681
1.001912746e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.068822880000001e-08	1630000	-2.0	585.8898669673359
1.0023647000000001e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.068780999999999e-08	1640000	3.0	586.3152517295526
1.001069658e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.06878042e-08	1650000	-14.0	586.7406285684822
1.0012170600000001e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.06882304e-08	1660000	-12.0	587.1659974783887
1.00326456e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.06878764e-08	1670000	-3.0	587.5913584535372
1.0011265799999999e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.068788079999999e-08	1680000	20.0	588.0167114881918
1.0014435759999998e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.0688097e-08	1690000	4.0	588.442056576619
1.00237158e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.068792200000001e-08	1700000	3.0	588.8673937130836
1.0013938400000001e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.068791459999999e-08	1710000	5.0	589.2927228918521
1.0013963800000001e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.068802019999999e-08	1720000	4.0	589.7180441071896
1.0020388e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.06880998e-08	1730000	2.0	590.1433573533636
1.00267506e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.06879404e-08	1740000	14.0	590.5686626246405
1.0013651480000001e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.0687918e-08	1750000	13.0	590.9939599152866
1.00090026e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.068800719999999e-08	1760000	3.0	591.4192492195702
1.00237432e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.068798320000001e-08	1770000	1.0	591.8445305317584
1.0018872800000001e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.06878396e-08	1780000	-4.0	592.2698038461186
1.00144868e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.0688026e-08	1790000	3.0	592.6950691569195
1.002332456e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.068794880000001e-08	1800000	7.0	593.1203264584299
1.0023855360000001e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.068760520000002e-08	1810000	3.0	593.5455757449182
1.00100442e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.068782259999999e-08	1820000	13.0	593.9708170106531
1.00207894e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.06879562e-08	1830000	8.0	594.3960502499039
1.0022251600000001e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.06877216e-08	1840000	8.0	594.8212754569408
1.000964744e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.06878068e-08	1850000	1.0	595.2464926260334
1.001675138e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.06880356e-08	1860000	16.0	595.6717017514517
1.003059e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.06877388e-08	1870000	-12.0	596.0969028274661
1.0004084899999999e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.068774440000001e-08	1880000	6.0	596.5220958483483
1.001868064e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.068803140000002e-08	1890000	30.0	596.947280808368
1.0031317400000001e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.06877686e-08	1900000	-4.0	597.3724577017977
1.00115296e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.068762639999999e-08	1910000	-4.0	597.7976265229083
1.000849412e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.06879802e-08	1920000	5.0	598.2227872659726
1.0028640560000002e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.068790920000001e-08	1930000	0.0	598.6479399252617
1.0020692999999998e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.06876292e-08	1940000	0.0	599.0730844950491
1.0008412640000001e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.06878708e-08	1950000	2.0	599.4982209696076
1.001597518e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.06879602e-08	1960000	-9.0	599.9233493432099
1.002934582e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.06877258e-08	1970000	-13.0	600.3484696101295
1.00109904e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.06877772e-08	1980000	11.0	600.7735817646402
1.0014519959999999e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.06881266e-08	1990000	7.0	601.1986858010162
1.001977448e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.0688023e-08	2000000	14.0	601.6237817135317
1.001026042e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.0688097e-08	2010000	-5.0	602.0488694964614
1.0021472240000001e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.068823740000001e-08	2020000	-4.0	602.47394914408
1.00152026e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.06881394e-08	2030000	2.0	602.8990206506631
1.001777132e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.06881252e-08	2040000	0.0	603.3240840104859
1.0013625e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.068828e-08	2050000	13.0	603.7491392178244
1.0026770799999999e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.06882104e-08	2060000	0.0	604.1741862669552
1.0016783779999999e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.068815779999999e-08	2070000	-1.0	604.5992251521534
1.00148112e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.06882246e-08	2080000	15.0	605.0242558676966
1.0021206599999999e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.0688239e-08	2090000	-1.0	605.4492784078622
1.0022422999999999e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.068804420000001e-08	2100000	7.0	605.8742927669269
1.0014158800000001e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.06879676e-08	2110000	16.0	606.2992989391684
1.0011210460000001e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.06880812e-08	2120000	11.0	606.7242969188646
1.00255552e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.06880854e-08	2130000	1.0	607.1492867002944
1.00235266e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.068789339999999e-08	2140000	11.0	607.5742682777355
1.0005985519999998e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.068799160000001e-08	2150000	12.0	607.9992416454671
1.00329516e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.06879204e-08	2160000	-1.0	608.4242067977682
1.001754844e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.068769479999999e-08	2170000	-2.0	608.8491637289188
1.0007070239999999e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.068784939999999e-08	2180000	7.0	609.274112433198
1.0026045799999999e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.06878908e-08	2190000	11.0	609.6990529048859
1.0023812859999999e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.06874104e-08	2200000	4.0	610.1239851382634
1.000336406e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.06877272e-08	2210000	16.0	610.5489091276106
1.001948658e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.06880898e-08	2220000	12.0	610.9738248672088
1.0036364e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.068751979999999e-08	2230000	-2.0	611.3987323513393
1.0005813400000001e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.06874502e-08	2240000	4.0	611.8236315742835
1.0016965400000001e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.06878978e-08	2250000	26.0	612.248522530324
1.0029667999999999e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.06874814e-08	2260000	-5.0	612.6734052137417
1.0014652040000002e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.068724840000001e-08	2270000	1.0	613.0982796188197
9.996376160000001e-11	3.0	4.6357826e-08	-4.0125183e-08	-7.068787219999999e-08	2280000	9.0	613.5231457398412
1.0033546800000001e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.06879602e-08	2290000	-4.0	613.9480035710894
1.00199962e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.06875028e-08	2300000	-4.0	614.3728531068475
1.0005562440000001e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.068784800000001e-08	2310000	14.0	614.7976943413987
1.0026139399999999e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.068801440000001e-08	2320000	-10.0	615.2225272690282
1.0017217199999999e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.068771439999999e-08	2330000	11.0	615.6473518840189
1.0003559239999999e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.068809959999999e-08	2340000	2.0	616.072168180657
1.0021402199999999e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.06881678e-08	2350000	-4.0	616.4969761532269
1.0028280300000001e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.0687722e-08	2360000	8.0	616.9217757960137
1.0006777019999998e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.0688047e-08	2370000	6.0	617.346567103303
1.0022638e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.06881876e-08	2380000	14.0	617.7713500693808
1.00225596e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.06877658e-08	2390000	-7.0	618.1961246885337
1.00123484e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.0687959e-08	2400000	1.0	618.6208909550484
1.00216772e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.0688003e-08	2410000	5.0	619.0456488632109
1.0018652599999999e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.06877856e-08	2420000	20.0	619.4703984073087
1.0026291599999999e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.06876606e-08	2430000	3.0	619.8951395816299
1.00174764e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.06876138e-08	2440000	7.0	620.3198723804619
1.00122108e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.06876066e-08	2450000	4.0	620.7445967980925
1.0020756e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.068767600000001e-08	2460000	14.0	621.1693128288109
1.00151806e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.0687716e-08	2470000	14.0	621.594020466905
1.0015474799999999e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.06878354e-08	2480000	8.0	622.0187197066648
1.0020399800000001e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.0687787e-08	2490000	14.0	622.4434105423793
1.0016519579999999e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.06877042e-08	2500000	3.0	622.868092968338
1.00162704e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.06877658e-08	2510000	8.0	623.292766978831
1.00225382e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.06877686e-08	2520000	6.0	623.7174325681486
1.00171834e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.0687646e-08	2530000	13.0	624.1420897305817
1.001834288e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.06876876e-08	2540000	10.0	624.5667384604211
1.001970514e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.068777280000001e-08	2550000	5.0	624.9913787519587
1.00163004e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.06876832e-08	2560000	9.0	625.4160105994852
1.0010710919999999e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.068769880000001e-08	2570000	4.0	625.8406339972929
1.0014286000000001e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.068789359999998e-08	2580000	1.0	626.2652489396747
1.0022250519999999e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.06879106e-08	2590000	-6.0	626.6898554209218
1.001471146e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.068787219999999e-08	2600000	-4.0	627.1144534353286
1.00207348e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.06879418e-08	2610000	19.0	627.5390429771874
1.0020309399999999e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.06878212e-08	2620000	18.0	627.9636240407923
1.00080364e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.06879604e-08	2630000	8.0	628.3881966204367
1.0014368619999999e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.06883214e-08	2640000	14.0	628.8127607104148
1.0026943999999999e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.068803560000001e-08	2650000	-6.0	629.2373163050214
1.0011491360000001e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.06877132e-08	2660000	-1.0	629.6618633985514
1.001168322e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.0688196e-08	2670000	16.0	630.0864019852996
1.0027843999999999e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.06880796e-08	2680000	10.0	630.5109320595622
1.00173166e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.0687871e-08	2690000	-2.0	630.9354536156342
1.0018861799999998e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.06880898e-08	2700000	7.0	631.359966647812
1.0024702799999999e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.068779420000001e-08	2710000	12.0	631.7844711503922
1.00178566e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.06876634e-08	2720000	-2.0	632.2089671176716
1.000865584e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.068783260000001e-08	2730000	4.0	632.6334545439472
1.0023953800000001e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.06878908e-08	2740000	5.0	633.0579334235161
1.0016665959999999e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.068771599999999e-08	2750000	12.0	633.482403750677
1.001530434e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.068781120000001e-08	2760000	28.0	633.906865519727
1.0021626939999999e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.06878182e-08	2770000	8.0	634.3313187249652
1.003253972e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.068752559999999e-08	2780000	0.0	634.75576336069
1.00120074e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.068741320000001e-08	2790000	13.0	635.1801994212007
1.0016075820000001e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.06875498e-08	2800000	3.0	635.6046269007965
1.0020103799999999e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.0687497e-08	2810000	8.0	636.0290457937775
1.001258166e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.068752959999999e-08	2820000	2.0	636.4534560944431
1.0031861399999998e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.06874432e-08	2830000	-4.0	636.8778577970946
1.001166254e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.06872104e-08	2840000	19.0	637.3022508960318
1.0009206959999999e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.06874972e-08	2850000	4.0	637.7266353855564
1.00258686e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.068754820000001e-08	2860000	11.0	638.1510112599694
1.0012543880000001e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.06875424e-08	2870000	18.0	638.5753785135724
1.0013420159999999e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.068777420000001e-08	2880000	-3.0	638.9997371406682
1.001714184e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.06876664e-08	2890000	3.0	639.4240871355587
1.00197646e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.068755240000001e-08	2900000	17.0	639.8484284925469
1.0003735379999999e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.068802439999999e-08	2910000	1.0	640.2727612059352
1.00250094e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.06879746e-08	2920000	9.0	640.6970852700274
1.0013213560000001e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.06878694e-08	2930000	8.0	641.1214006791274
1.0013844999999999e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.068822040000001e-08	2940000	-7.0	641.5457074275388
1.0021115e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.068828700000001e-08	2950000	-2.0	641.9700055095664
1.0015185379999999e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.06882006e-08	2960000	3.0	642.3942949195146
1.00157346e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.06883114e-08	2970000	3.0	642.8185756516884
1.0022472200000002e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.06882674e-08	2980000	15.0	643.2428477003938
1.00176668e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.06880568e-08	2990000	3.0	643.6671110599361
1.001521918e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.06881408e-08	3000000	13.0	644.0913657246209
1.0026127800000001e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.068809099999999e-08	3010000	3.0	644.5156116887556
1.0021577099999999e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.06878564e-08	3020000	3.0	644.939848946646
1.0015108159999999e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.068794619999998e-08	3030000	8.0	645.3640774925999
1.0025478399999999e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.06878738e-08	3040000	8.0	645.7882973209239
1.0020282999999999e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.06875654e-08	3050000	1.0	646.2125084259267
1.00158406e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.068758099999999e-08	3060000	22.0	646.6367108019156
1.0024784480000001e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.06875326e-08	3070000	0.0	647.0609044431997
1.00218992e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.068716879999999e-08	3080000	10.0	647.4850893440872
1.000621136e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.068751139999998e-08	3090000	23.0	647.9092654988875
1.0026349199999998e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.06875352e-08	3100000	26.0	648.3334329019098
1.0029099800000002e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.068712760000001e-08	3110000	-8.0	648.7575915474638
1.001172786e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.06869968e-08	3120000	-1.0	649.1817414298606
1.001507042e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.0687291e-08	3130000	10.0	649.6058825434093
1.001386438e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.068737780000001e-08	3140000	-4.0	650.0300148824219
1.0022772599999999e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.06871532e-08	3150000	9.0	650.4541384412084
1.0021307400000001e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.06871178e-08	3160000	11.0	650.8782532140812
1.00141368e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.0687048e-08	3170000	-6.0	651.3023591953515
1.000936884e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.06873194e-08	3180000	4.0	651.7264563793324
1.0022473399999998e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.06873436e-08	3190000	3.0	652.1505447603356
1.00142041e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.06873492e-08	3200000	13.0	652.5746243326739
1.001239834e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.06875938e-08	3210000	15.0	652.9986950906612
1.0015801019999999e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.06875652e-08	3220000	9.0	653.4227570286104
1.0009588699999999e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.068772720000001e-08	3230000	5.0	653.8468101408354
1.0017571060000001e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.068795459999999e-08	3240000	6.0	654.2708544216514
1.002316626e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.068796600000001e-08	3250000	13.0	654.6948898653719
1.00098946e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.068809099999999e-08	3260000	8.0	655.1189164663123
1.001577856e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.06882158e-08	3270000	4.0	655.5429342187877
1.0024608620000001e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.068815219999999e-08	3280000	25.0	655.9669431171142
1.00225494e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.0687868e-08	3290000	5.0	656.390943155607
1.000659956e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.068793760000001e-08	3300000	-9.0	656.814934328583
1.00235472e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.068805120000001e-08	3310000	2.0	657.2389166303591
1.00281372e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.068788079999999e-08	3320000	7.0	657.6628900552513
1.00180796e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.06876448e-08	3330000	9.0	658.0868545975783
1.00214302e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.068752e-08	3340000	-5.0	658.5108102516565
1.001321942e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.06875028e-08	3350000	-2.0	658.934757011805
1.001523324e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.06878042e-08	3360000	-6.0	659.3586948723422
1.0020104999999999e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.06877216e-08	3370000	-3.0	659.7826238275861
1.0024469599999999e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.0687534e-08	3380000	-1.0	660.206543871856
1.0011808840000001e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.068751259999999e-08	3390000	-4.0	660.630454999472
1.00275198e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.06875326e-08	3400000	4.0	661.0543572047534
1.0015060199999998e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.068739499999999e-08	3410000	-7.0	661.4782504820205
1.0017805799999999e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.06873948e-08	3420000	13.0	661.9021348255942
1.0016177480000001e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.06874602e-08	3430000	-2.0	662.3260102297945
1.0024311199999998e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.068732659999999e-08	3440000	9.0	662.7498766889436
1.0013271199999998e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.06872768e-08	3450000	13.0	663.1737341973625
1.0017899379999999e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.068730079999999e-08	3460000	-2.0	663.597582749373
1.0022506580000001e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.06872044e-08	3470000	-2.0	664.0214223392982
1.000367e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.06874134e-08	3480000	7.0	664.4452529614598
1.00214134e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.0687618e-08	3490000	-2.0	664.8690746101815
1.0025977800000001e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.0687345e-08	3500000	4.0	665.2928872797862
1.0008293599999998e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.06874944e-08	3510000	3.0	665.7166909645981
1.0016936919999999e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.068771739999999e-08	3520000	0.0	666.1404856589411
1.0021907200000001e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.068752119999999e-08	3530000	11.0	666.5642713571392
1.000484588e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.06877586e-08	3540000	5.0	666.9880480535173
1.00178254e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.068804420000001e-08	3550000	9.0	667.4118157424014
1.00284032e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.0687804e-08	3560000	8.0	667.835574418116
1.0015092799999999e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.06876606e-08	3570000	-2.0	668.2593240749876
1.00177898e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.0687773e-08	3580000	7.0	668.6830647073416
1.0021356200000001e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.068769319999999e-08	3590000	14.0	669.1067963095055
1.0021751999999998e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.06874898e-08	3600000	6.0	669.5305188758057
1.00100748e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.06875156e-08	3610000	1.0	669.9542324005696
1.0022600600000001e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.06876262e-08	3620000	20.0	670.3779368781248
1.0029652599999999e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.068728380000001e-08	3630000	-1.0	670.8016323027999
1.000968118e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.068711040000001e-08	3640000	5.0	671.2253186689225
1.00152517e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.068741320000001e-08	3650000	16.0	671.6489959708216
1.00357782e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.068710359999999e-08	3660000	12.0	672.0726642028263
1.001647634e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.068684479999999e-08	3670000	19.0	672.4963233592663
1.00053525e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.06871332e-08	3680000	6.0	672.9199734344712
1.0023384600000001e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.06872086e-08	3690000	-4.0	673.3436144227708
1.0023111799999999e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.068687039999999e-08	3700000	7.0	673.7672463184963
1.00184206e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.06868818e-08	3710000	9.0	674.1908691159786
1.001412172e-10	3.0	4.6357826e-08	-4.0125183e-08	-7.068690599999999e-08	3720000	5.0	674.6144828095483
